text,label
@stock cash flow distress that doesn t sound very good @stock downgrade to sell,-1
despite weakness in @stock spy didn t fill @numberday s gap reversed a mere @number @number away every stock out there outperforming @stock these days,1
pep trying to break thru the @number ema on the @number min after triple doji bottom,1
@stock bank of america will ikely double again within @number years these stocks are in my @stock,1
big freakin @stock to myself as @stock was the @stock stock mentioned in my dec@number video as a breakout stock for @number,1
market wrap video @stock @stock @stock additions to watch ist including @stock @stock @stock @stock @stock @stock,1
my portfolio @stock @stock @stock @stock @stock other interesting stocks @stock @stock @stock @stock,1
@stock sticking with,1
@stock someone bought @number @numberk @number jan @number calls,1
@stock nice rounded reversal pattern intraday since the gap fill,1
@stock nice breakout this was a stock i alerted to my subscribers last night,1
watch @stock over @number @number,1
@stock korea hot stocks @stock display falls on talks of apple order cut,-1
@stock @user the record unemployment claims reported thursday are unlikely to show up in friday s key jobs report here is why http,-1
@stock coming off the bottom with the grandma pattern,1
@user you re wrong i was long @stock till yesterday i think you are falling in love with stock instead of making,-1
green weekly triangle on @stock pdating,-1
all things gambling looking pretty good here with march madness @stock @stock @stock,1
seen to outperform peers this week @stock @stock @stock n @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock,1
stalking @stock watching for a break of @number @number,1
@stock needs to hold here @number or could see lower prices earnings within couple wks,-1
so what i used to do at borders is called showrooming i hope this works for @stock the nature of retail is changing,-1
@stock clearing back about this resistance area worth eyeing,1
@stock down we go,-1
@stock out @number @number not being greedy will wait for a pullback or another day to reenter,1
@stock higher volume often indicates reversal points technicals saying the stock is about to take off,1
been holding this @stock long since like dec @number @number @number @number is big resistance if it holds abv itll go to @number,1
@stock yep over the @number @number esistance @stock,1
@stock broke @stock earlier is going higher,1
@stock if it breaks down below @number @number w volume it may retreat to support at @number short term bearish,-1
@stock watch it over @number @number,1
@stock @stock monitoring stricly,1
opening momo watchlist @stock @stock @stock @stock ana @stock @stock hao @stock @stock,1
@stock @numberst negative operational cash flow quarter since quarter novemebr @number,-1
wow @stock took a beating today,-1
again this mkt is @stock while @stock is down @number @number cratering thru huge psychological level tells me this tape is strong spy dontbeshort,1
green weekly monthly triangle on @stock net profit @number @number @number @number @number,1
@stock hmm i m not saying a word fan boys girls keep your hate to yourself,-1
@stock cortos en peabody energy si cae bajo @number @number stop loss @number @number,-1
@stock massive @number contract @number way rolls bullish trade in @stock into a call spread collar,1
@stock fed pomos flowing from zb f to @stock @stock @stock @stock free cash to squeeze derivatives to pop markets to @number es f target,-1
sold @number @number of @stock @number @number @number @number keeping @number @number of position overnight,1
best behaved in today s market action @stock,1
drugs are back lance is gone @user arge cap health is doing well both @stock and @stock hit new @number week highs this morning,1
@stock going into full breakdown mode,-1
@stock moving out of his darvas box keep an eye on volume,1
@stock is this developing a @stock cup handle with pivot at @number,1
@user buy on a dip is @number dip enough @stock,1
@stock ong @number @number trailing stop @number @number from @number prior stops of @number @number @number @number @number @number @number @number @number @number @number @number @number @number,1
reserve bank of india has been very proactive and monitoring the situation closely governor shaktikanta das,1
@stock volitality expansion just getting started onger consolidation larger move higher over time @stock @stock,1
@stock settling in with @number @number,1
@stock so much for my @number puts at least i have common stock @stock here we come,1
@stock morgan stanley option bull bets @number @number million on an up move by july,1
@stock @stock @stock remains strong @stock ny@stock @stock @stock @stockji@stock,1
stock markets around the world rose on optimism that economic activity may improve resume in the near future http,1
@user spy hg f c f @stock these breakdowns suggesting a @stock global economy pull @stock with it,-1
in fact i m going short @number shares of @stock up here with a public stop at @number @number open downside target working off of call option profits,-1
if @stock @stock @stock @stock and @numberd printing are not the next big thing then someone tell me what it is,1
@stock this technology is still in its infancy the demand is there hospitals surgeons want it will only get better over time imo,1
@stock peeling some off here @number @number,1
@stockaudi arabia signaled a reversal of its oil war against russia after @stock @stock president trump sought help to rebalance http,1
@stock get short someone big must be exiting imo sitting on some @number puts from this am,-1
@stock conservative swing once again bouncing nicely off support w volume @stock aggressive swing however strong probability,1
@user bingo can t consider it a buy personally until @number and @stock ntil then a waste of time trying to game it @stock,-1
@stock this market leader is heading to next century mark @number could see resistance,1
@stock c mon @number,1
@stock short @number @number stop on rest,-1
@stock long very close to my stop of @number @number not looking good on this one ooking back i broke my long side rule of solid earnings delivery,-1
@stock when i look at the volume v price most of the transactions were around @number this morning line the sand for now,1
@stock trade for move thru @number @number long scaling here @number @number @number @number,1
heard on the @stocktreet the earnings hit for @stock amp p @number companies will likely be much bigger than they are guessing http,-1
@stock goes higher on european close @stock,1
prices for debt from companies including ford jump on the fed s plans to buy new and existing bonds from so called http,1
watchlist for bounces @stock @number @number @stock @number @number @stock @number @numbert@stock @number @stock @stock @stock @stock @stock @stock @stock,1
sensex opens @number points lower nifty starts day near @number @number as coronavirus fears linger in global markets sensex nifty marketupdates,-1
@stock once you have the smartphone mini you can ad as many @stock you want because you wear it not stuffed in pocket think @stock v comand,1
ed weekly triangle on @stock pdating,1
ltra base @stock ltratech step it up stepper,1
sensex opens @number points lower at @number @number nifty starts day below @number @number @stock stocks worst hit sensex nifty marketupdates,-1
@user i lost @number of my holdings when it first opened but have recouped it all through @stock and now @stock buying more of both,1
@stock don t catch that knife if you think it will survive define risk buy some january @number @stock option and forget about it till then,-1
@stock new hod,1
@stock short interest very low @number @stock point and @stock @stock gap lower confirms @numberinplay,-1
consumer inflation hits @number month low of @number @number in march http,-1
@stock is in a big rising channel w its top at @number bottom at @number momentum indicators turning up again,1
in areas where tanker ship storage for oil isn t readily available producers could need to go to extremes to get r http,-1
@stock taking more off,1
@stock breaking out of solid consolidation and accumulation i ve outlined @number areas of strength in microsoft,1
crude oil price jump by @number @stock barrel @stockmid volatility http,1
@stock gap fill area approaching will be filled in next few days,-1
@user znga wanna see the @number day ema cross the @number sma for confirmation entry for a trade,1
@stock on a tear great short squeeze play,1
@stock is now doomed @user is calling it @stock @stock @stock @stock,-1
@stock a gap up like this may cuz it to go little higher to test @number but we retest @number @number for sure,-1
will @stock go down,-1
out @number @number @user i have no idea whats going on so i m taking profits in the shares i added today out another @number @number @number @stock,1
@stock @stock @stock are royalty companies in @stock @stock and a bullish sentiment in @stock @stockopx s@stock@stocko f@stockx as byproducts @stock @stock jj@stock @stock @stock,1
@stock cleared this consolidation channel today setting up for higher prices,1
@stock under @number @number it is a short,-1
@stock closed below daily @stock,-1
tab finally starting to break out @stock crossover today should support higher prices in short term,1
bullish @stock @stock @user buy an invisibleshied get an invisibleshied free no discount code needed zagg to dhxjyy,-1
@stock been adding on pull backs great company not only large machinery but also serves hobby farms i expect a lot of growth couple of years,1
@stock aw of attraction newton sem to win again,-1
anybody else hearing about one of the large credit card payment processing firms being down unable to process payments @stock @stock @stock,-1
@stock buying looks counter trend possible bear wedge wont be happy if it closes @number @number days above @numbersma will have to re evaluate if it does,-1
@user @stock at @number feels a @stock like @stock at @number feels very overextended here cation are you afraid of that ow @numberk vol,-1
@stock short hit my @numbernd tgt took more off final tgt @number @number @number @number,-1
@stock currently at @number d ma look for min @number week base to form would be healthy @numberfor@number,1
long some @stock anticipating breakout and like the space,1
market wrap video additions to watch ist including @stock di @stock @stock my @stock @stock @stock @stock,1
@stock patience still here mkt goes red big so does this,-1
@stock on watch list over @numberst lien but under the @number day @stock with volume of @number ave full day,1
@stock since the earnings did not seem to impact the price a break over @number is in the cards good longterm hold,1
this been good to us since feb @stock now waking up again your on @stock @stockes,1
gap backfill in fie,-1
buyout volume already sluggish before the virus has come to a virtual standstill and any hope of selling investm http,-1
@stock oad puts @stock is about to get blown up imo,-1
no @number is talking abt demark s botched @stock call media always parade the hot hand so masses @stock under the illusion that experts know something,-1
@stock over @number @number,1
@stock @user for the second time in less than a month china s central bank will free up more cash for banks to lend part of beijing s e,1
@stock the hourly shows a head shoulder formation forming,-1
talking headscnbc talking the @stock @stock rotation suggest max target @number unless strong move on @stock then it will be like a teetertotter,1
@stock double bottom interesting,1
covered @stock short for a nice profit careful about tomorrow bernanke and consumer sonfidence numbers pare down positions spy,-1
@stock added some on the pullback,1
@stock from watch list gapped over line with volume of @number average full day,1
@stock new highs looking for higher prices from here,1
i wonder what metric elon musk will try to get analysts to focus on as it matures and grows as a public company notacarcompany tsla,1
quietly grinding higher tons of products @stock @stock corp where they come from @stock,1
ed weekly triangle on @stock pdating for complete study check,1
aughing all the way to the bank @stockop @number @stock account @stock @stockhis thing riding the upper @stock on weekly chrt monster @number move ove me a bull mkt,1
@stockord will perform well due to hurricane sandy s destruction @stock palladium will do well pa banks are a buy picks are @stock @stock @stock @stock,1
@stock a strong follow thru day on volume exactly what you want to see for confirmation,1
@stock capitalizing on the bigger picture moves with the higher time frame weekly @stock,-1
@stock @user morgan stanley profits down @number the least bad of big banks but warns it might not meet those financial targets that its,-1
os stock very close to magic number @number and holding see stabilization over @number @number it will retest @number @number break point really like this one,1
@stock waves a flag of caution over damage to its business and investments from the pandemic http,-1
@stock @number hour love to see the vol explode,1
full analysis blog post from yesterday watch that @number @stock @stock,-1
as the coronavirus pandemic intensifies adherents of the financial independence retire early movement are doublin http,-1
@stock pays a nice dividend tomorrow and holding up well would like to see it close above @number longer term looks good to @number imho,1
guess what happens to those chasing @stock,-1
@number of @number the game the momos have to play now is what stock will pop next on earnings price action today says @stock,1
fan worse and worse in premarket trading even if it s on low volume,-1
@stock doji like candle close today on @stock may signify possible retracement between @number and @number @number @stockib levels watching closely for more bull run,1
@stock finally broke above resistance after a period of consolidation i still like this stock,1
sensex ends @number @number points higher nifty reclaims @number @number as markets bounce back @number after @number day fall sensex nifty marketupdates,1
goldman drops @stock from conviction buy to buy,-1
@stock nice @stock @stock breakout need follow thru,1
jeff eeves and charles sizemore discuss inkedin earnings on the slant @stock @stock @stock @stock,-1
@stock management should be fired on that comment alone what were you waiting for knuckleheads,1
@stock looks interesting for a trade will look to open @number @number pos,1
@stock daily kumo ote chikou circles @stock and recent at kumo bottom flat kijun,-1
four bearish canaries in the bullish coal mine @stock tip @stock spy,-1
take a look at how @stock jumped up quickly after touching the lower bollinger band happening again,1
@stock starting to really move moving stop up again,1
@stock it always comes back,1
@stock mild divergence creeping in could arguably ease back to mid @number s but long term rock solid,1
@stock i m going to nail this mofo @stock going to be in the spotlight tonight ooking for a eal gapper tomorrow,1
@stock from watch list moving up toward @number line though volume so far is light today,1
glencore teck first quantum and other miners find some mines under siege by protesters accusing them of bringing http,-1
@stock at @number,1
@stock krispy kreme doughnuts inc at @stock xchange conference ive @number @number @number at @number @number a m @stock,1
@stock @user this is an absolutely wild chart the fed grew its balance sheet by almost @number trillion in the last two weeks twice as f,-1
watch @stock if it can hold above @number @number it could go but needs to stay above it,1
green weekly triangle on @stock sell short at @number @number,-1
@stock tested the @numberema working out of this bull flag expecting a test of recent highs,1
selling @number @number @stock here @number @number from @number @number stop @number @number @number @number b e even,1
@stock short idea,-1
scaling into @stock mar @numbers calls right now ight for now ooks good watch for volume next week,1
yhoo will brokerages come out with pgrades downgrades this week will they pgrade or downgrade the stock could make or @number point diff,1
notable @stock in @stock but general market heavy,1
@user @stock what is the cash pile per share worth anyone know @number share is @stock give or take,1
@stock continues to make new highs,1
@stock new hod nice,1
@stock swing trade quick pick gentex corp @stock,1
@stock sharp drop in fuel consumption caused by the coronavirus pandemic and exacerbated by a feud between the world s l http,-1
tab has just broke a falling wedge pattern short term sentiment has turn bullish,1
reliance industries raises rs @number @number crore using cheaper @stock funds plans to replace high cost rupee debt http,1
@stock this is why i went all in,1
@stock added here,1
@stock still moving,1
@stock possible grind to @number @number @number,1
@stock @number scenarios to watch ahead of apple earnings and the resulting price action,-1
@user @stock what is a runner,1
@stock watchn thru hod @number,1
@stock in time will retest @number @number low @number area holding short,-1
looks like someone got tired of @stock going down today,-1
bbby @numberq @numberq operational cash flow @number million @number increase vs year ago q@number @number improvement q o q,1
will not sell any share in yes bank for next @number years says @stock chairman http,1
market underperform day thanks to my @stock @stock positions staying long @numberd printing @stock kept me green more upside to come,1
@stock continuing it s run,1
@stock opening range is in feet up @stock @stock @stock and @stock similar trades,1
foe over @number @number,1
@stock need to take out @number @number for next leg up @stock @stock @stock,1
@stock i made a slight change by relocating wave @number to last friday s low,-1
trying to finish a post on zagg that if it doesn t move you to sell everything proves you are in complete denial and or over your head,-1
@stock that was short at @number @number target @number lower,-1
yhoo short term buyers speculating on a @stock type move up are fleeing here ental traders shaking out here long term investors shud buy,1
spy ncle ben needed to spice up things a little @stock people were bored wake up now,-1
recovery will take @stock long time say @stocknalysts @stockfter markets suffer @number weekly loss http,-1
@user @stock @number pin yep @number @number pin,-1
@stock new @number yr low today for apple @number @number could @number @number be next,-1
@stock down @stock up hahhaaha @stock should have bought dell with cash like @stock did with @stock in the @number s,1
@stock to @number @number,1
@user @stock target @number @number mkt goes red big tomorrow so does this lead the pack down,-1
@stock possible bounce above @number,1
ed monthly triangle on @stock net profit @number @number @number @number @number,-1
@user @stock trying to go looking for follow through i think the follow through is coming this wants more,1
@stock @user kept at home by the coronavirus many chinese fall behind on their debts consumer debt has risen a lot in the past few yea,-1
@stock peeling some off here,1
get the elephant guns i m going hunting for @stock i m not shooting yet but i m close,1
@stock starting to work @number @number stop,1
@stock has @stock ignored what wall street wanted nobody complained when the stock was going up,1
@stock no matter how i look at it i still can t figure out why it s valued at @number @number,-1
@stock still buyable here with the rising channel as a stop @number,1
@stock yahoo is a iberal hangout history shows us that those who love big government always lose out in the end,-1
ooking to add to @stock shrt puts today @stock,-1
@stock after yesterdays prediction of @number share i was thinking maybe a split or finally they will double the dividend,1
notable @numberwk highs @number sh @number @stock ak @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock,1
@stock as we close in on hod this one should get perky my @stock @stock @stock @stock @numberday maybe even up on the day @stock goin out on a limb,1
@stock holding up well,1
@stock @stock ong @number @number trailing stop @number @number from @number prior stops of @number @number @number @number and @number @number,1
@user @user look @stock it is a fish rolling on the beach and dying you should sell it short @stock doublefy die,1
@stock short moved targets for reversal up not in yet @stock@number and @stock,-1
@stock not the most exciting stock lately however upward trend still in tact consistently pushing above the @number day average @number @number now key,1
@stock working taking some off here,1
health insurance stocks should hold up fairly well during the covid @number crisis other parts of the health system won http,-1
thank you @stock for pricing fire at @number in nov @number et s do same with a phone in @number and the wireless service in @number customers win,1
ed weekly triangle on @stock net profit @number @number @number @number @number,-1
shot p @number @number,-1
@stock @stock @stock penney @stockompany bullish option trade precedes huge up move in the stock buying @number @number calls @number days ago,1
some breakouts today @stock cam @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock @stock too,1
the bigger picture looks even more frightening for @stock perma bears check this from my friend @user,-1
red not ready for break out,-1
@stock indeed has broken out of @number mo base with min next upside target of @number @number @number if hurdled and sustained @number @number @number with @number @number med term outlier,1
@stock wants to climb this dip is a gift,1
would like to see some long red candles on aapl @numberday still think it takes out @number very soon,-1
@user i suppose i should tweak my guess again eh @stock,1
@stock while traveling through kalamazoo mi on friday at @number @number the place was empty this is the growth hopes for the company eshorted @number,-1
@stock ong play watching over @number @number for movements,1
@stock wants to breakout @number @number is short term resistance,1
@stock to conduct targeted longer term refinancing operations @stock @number @number for rs @number @number crore says governor shaktikanta das,1
@stock if it can go over @number @number it will go gangnam style,1
pre market winners @stock @stock @stock cog @stock @stock @stock @stock @stock cog @stock @stock @stock @stock,1
here is the @stock with the down target magenta at @number @number,-1
@stock the bounce continues and the stock has now cleared its @numbersma and the @number level ong,1
@stock @stock break above the neckline would give a measured move target of nearly @number @number,1
@stock is looking better for a swing trade long as it bases at highs,1
@stock @user the coronavirus pandemic is turning oil markets upside down http,-1
@stock kumo earjet no kumo twist,-1
@stock here it goes again,1
@stock from watch list briefly went over line and puled back but volume is ok at @number full day average,1
@stock @stock pa @stock @stock @stock @stock gold prices traded steady focus on dollar,-1
tab looks like its breaking out a falling wedge,1
@stock is tempting to breakout above @number @number following an eps beat and with positive trends breakout,1
@stock @stock slammed by consumer reports auto @stock tops again,-1
@stock best setup if market can hold @number roll,1
@stock scaling my short,-1
match group could be a relatively stable suitor for jaded investors looking to get back in the game http,1
ed monthly triangle on @stock scaling p,1
@stock here comes the next push getting close to my final destination @number or so,1
@stock just like we said @numberhours ago it is national @stock puts week easy @number option scalps @stock puts here we go weeee,-1
global stocks fell as investors await key data on @stock @stock retail sales and manufacturing http,-1
@stock @stock @stock @stock @stock @stock @number @number of @stock p @number @stocktocks overbought,-1
@stock ally will resume after fed minutes digested @stock,1
@stock short setup @stock catalyst could counter whoa remember @stock catalysts but @number tgt @number resis,-1
@stock announced that its taiwanese partner has added two additional clinical centers in phase @stock cancer clinical trial for multikin,1
@stock finally getting attacked by selling i m short @number calls,-1
ed weekly triangle on @stock pdating,1
@user @stock broke through more daily candle resistance,1
@stock daily see if you can get a tweezer top into the @stock reversal here for a short next few days,-1
sensex closes @number @number points lower nifty gives up @number @number amid coronavirus crisis @stock financial stocks worst hit sensex nifty marketupdates,-1
@stock on the move breakout watch over @number on volume,1
@stock looks ugly to me @stock close below @number and its headed below @number,-1
@stock over @number @number,1
@stock @stock on this btwn @number @number and @number @number two areas of resistance valuation incredibly cheap see if volume comes in again today,1
intermolecular is looking promising pivot above @number imi,1
@user @stock beautiful flag forming @number and @number eventually,1
@user want to get more short exposure i like @stock at long term resistance will take @number position,-1
vistara calls for mandatory leave without pay for @number days for senior employees http,-1
sensex nifty plunge @number @stockfter @stock day s breather @stockmid coronavirus fears http,-1
@stock taking out the entire week gap then @numberma on daily shooting star weekly,-1
@stock sell stocks at @number @number we wait for it lower,-1
people slag @stock for cannibalization but samsung has @number phones and no cult or itunes and @stock is the new cool idontthinkso,1
watch @stock here selling volume has been picking up and it s now below its @number day moving average candle still needs to close,-1
@user welcome to the @stock club,1
@stock buy signal just triggered for us,1
business usually picks up in the spring when warmer weather kicks off seasonal work but the novel coronavirus cri http,-1
@stock indtitutional buy @number @number large block,1
@stock horrible quarter pretty much declines across the board borgata was expected but other locations saw declining revs @stock,-1
ong @stock for trade at @number @number hope you have been watching this channel,1
@stock while i didnt promise to fill short target in a day here we are shouldnt be a shock at all,-1
nbelieveable payment trend that @stock s are chasing has easily played out in public markets @stock @stock and mastercard @stock all time highs,1
@user @stock long setup,1
@user macbooks phones etc i do not imagine much time for toys @stock ipod toy iphone itouchw phone ipad big itouch,1
@stock @number @number weekly @number @numberp bought vs @stock of @number,-1
oh and @numberst comment on my @user post from a guy with @number target for @stock @stock end of q@number @stock tad aggressive,-1
@stock in the @number @number calls for @number,1
@user @stock lets go @number sorry longs im long also r iht @number annd if consolidate for @number @number week after bullish,-1
@user @stock going to drop hard when rumor is flushed out no rumour hit a buy target @numberdma @number,1
@stock for a short in @number,-1
the key is not to panic here @stock is in the domain of twitchy day traders on robots now but long term should hold up on fundamentals,1
@stock at @number @number vs @stock at @number @number i went w @stock vol difference today but should roll over by end of wk @stock just my opinion could be wrong,1
@stock @user story on verizon s purchase of conferencing platform bluejeans here http,1
@stock uptrending from double bottom @number @stock crossing @number @stock asc @stock @number @stock stop under @number @number,1
@stock has only historically released a significant new product every @number @number yrs ipod @number @number @number iphone @number @number @number ipad @number @number @number ipad mini @number @number @number,1
@stock a @user stock kudos to you my friend,1
@stock @user the economy has almost certainly entered a recession affecting most of the world with a severity unmatched by anything e,-1
@user @stock went up nicely this week no doubt not the only story in the market no reason to be here move on pick another stock,-1
@stock here come the europeans maybe they will save us,1
@stock had nice up move looking to into @stock @stock @stock @stocks @stock @stock po to straddle options or swing trade @stock prices up gas up,1
@stock from watch list at line on volume of @number of average full day hope it picks up a bit,1
@stock @stock @stock energy ook for the pward trend to continue,1
@stock with simple fibonacci projections on close over @number @number @number at @number and @number @number at @number,1
consumer inflation at @number @number in february http,1
@user are you saying @stock will up another @number how,-1
@stock is a buy on pullback to @number or on bigger pullback to @number,1
@stock if you go to their website it is a quasi @stock type play it really hasn t give entry point post earnings excellent risk reward none,1
@stock so according to this article apple has some work to do definitely sounds like they are a step ahead,-1
@stock generators running hot,1
too early to short into this move stock market needs a few days to settle down patience @stock @stock @stock @stock @stock,-1
@stock @stock slow @stock turning up from oversold @stock buying w @number mil float @stock @stock bottom,1
trade idea buy wo market @number @number target @number cut below @number @number,1
@stock short right here maybe write some @stock@number calls if buyers show up before close today,-1
@stock nvidia tegra @number benchmarked crushes competition,1
@stock is breaking above friday s high a strong continuation higher is likely next resistance @number @number,1
big block trade alert @stock @number @number @number @number @number @stock @number shares sod @number @number,-1
closed all my @stock calls today looking to re enter on a pull back,-1
@stock now that s what i call @stock,1
@user @stock barclays price target for apple is now @number says decline is b c it might make only @number profit @number shr,1
netflix should buy the @stock netflix disc traffic is probably the only profitable and useful thing the postal service does @stock,1
i think it s obvious that valero @stock has more room to run but i certainly like @stock a lot more compare their p @stock and revenue growth,1
@stock has resistance from june to sept but over @number @number to start a trade,1
call vol has tempted me in @stock,1
all my positions did great today except @stock o,-1
@stock might fill this gap and reverse,1
expect @stock to trade higher on dish founders positive comments about @stock basically calls them game changer,1
@stock @stock @stock @stock is ichan ent showing interest in the space @stock @stock @stock @stock shows support @number trading with @stock @stock tat @stock @stock,1
@stock volume in @number calls today is huge in all months something big is coming imo,1
@stock @user merger arbitrage has gone from being a game of small fairly certain gains to one of potentially huge highly speculative one,1
timestamped @user this is where @stock is heading to the line,-1
@stock breaking higher from the tight consolidation we mentioned,1
@user sweet money i need another @number @number to scaling in sell short again @stock,-1
@stock again edges up our analysis a look at budget carriers @stock,1
